epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,65981,1.97416,1.20776,2.70494,0.93235,0.43771,0.6899,0.4361,1.6883,0.97429,2.47399,0.00338384,0.00338384,0.00338384
73,66892.7,1.97126,1.20946,2.70732,0.93405,0.44204,0.69278,0.43681,1.68767,0.96789,2.47708,0.00327136,0.00327136,0.00327136
74,67804.5,1.96526,1.20539,2.71911,0.92913,0.45596,0.69806,0.43707,1.70384,0.96716,2.49824,0.00315888,0.00315888,0.00315888
75,68715.8,1.96315,1.20623,2.7071,0.92801,0.44746,0.69323,0.43724,1.69059,0.96676,2.4817,0.0030464,0.0030464,0.0030464
76,69626.8,1.95985,1.19592,2.69942,0.92996,0.44718,0.6938,0.43756,1.69447,0.96874,2.47973,0.00293391,0.00293391,0.00293391
77,70538.5,1.95222,1.19133,2.69215,0.93147,0.45315,0.69807,0.43952,1.69383,0.96372,2.47983,0.00282143,0.00282143,0.00282143
78,71450.2,1.95669,1.19257,2.6957,0.93288,0.45191,0.69717,0.44026,1.68873,0.95596,2.47731,0.00270895,0.00270895,0.00270895
79,72361.4,1.94806,1.19092,2.69327,0.92879,0.45898,0.69975,0.44207,1.67543,0.95711,2.46385,0.00259647,0.00259647,0.00259647
80,73272.6,1.94833,1.18687,2.67775,0.936,0.45246,0.69908,0.44349,1.68258,0.95513,2.47901,0.00248399,0.00248399,0.00248399
81,74184.3,1.94008,1.18233,2.68134,0.93556,0.45013,0.69747,0.44324,1.67875,0.95728,2.46668,0.00237151,0.00237151,0.00237151
82,75095.7,1.94072,1.17996,2.67822,0.92499,0.46611,0.70169,0.44215,1.68651,0.95673,2.47322,0.00225903,0.00225903,0.00225903
83,76006.9,1.94005,1.18025,2.68183,0.93027,0.45576,0.69811,0.44296,1.67621,0.95665,2.46285,0.00214655,0.00214655,0.00214655
84,76917.8,1.935,1.17343,2.65859,0.93199,0.45589,0.69911,0.44389,1.67089,0.95611,2.45718,0.00203407,0.00203407,0.00203407
85,77829.3,1.93549,1.17439,2.67006,0.9367,0.45171,0.69868,0.44569,1.66823,0.9535,2.45138,0.00192158,0.00192158,0.00192158
86,78741.2,1.92554,1.16544,2.66936,0.92832,0.46371,0.70177,0.44578,1.66503,0.95131,2.45202,0.0018091,0.0018091,0.0018091
87,79652.9,1.9187,1.16261,2.64935,0.92821,0.45857,0.69924,0.44459,1.66879,0.94969,2.45279,0.00169662,0.00169662,0.00169662
88,80564,1.92364,1.16227,2.65506,0.92855,0.46536,0.7029,0.44677,1.66427,0.94469,2.453,0.00158414,0.00158414,0.00158414
89,81475.5,1.91299,1.15658,2.64904,0.93182,0.46035,0.70208,0.44609,1.66291,0.94246,2.44639,0.00147166,0.00147166,0.00147166
90,82386.7,1.9049,1.15294,2.63724,0.92793,0.46989,0.70534,0.44713,1.66111,0.9407,2.44457,0.00135918,0.00135918,0.00135918
91,83290.9,1.93009,1.14893,2.69438,0.92849,0.46495,0.70294,0.44717,1.6656,0.93883,2.44707,0.0012467,0.0012467,0.0012467
92,84194.2,1.92004,1.14534,2.69437,0.93141,0.46392,0.70332,0.44874,1.66184,0.93824,2.44288,0.00113422,0.00113422,0.00113422
93,85097.8,1.9145,1.13872,2.68202,0.92901,0.47126,0.70607,0.44911,1.66137,0.93594,2.44548,0.00102174,0.00102174,0.00102174
94,86001.3,1.90631,1.13132,2.67174,0.92955,0.47517,0.70838,0.45094,1.65833,0.93722,2.4428,0.000909254,0.000909254,0.000909254
95,86904.9,1.90778,1.13073,2.6624,0.93208,0.46975,0.70653,0.4515,1.65747,0.93323,2.44346,0.000796773,0.000796773,0.000796773
96,87808.9,1.89809,1.1203,2.65797,0.93043,0.47338,0.70793,0.45239,1.65791,0.93122,2.4437,0.000684292,0.000684292,0.000684292
97,88712.8,1.89292,1.11935,2.65764,0.93304,0.47311,0.70909,0.45403,1.65447,0.93067,2.43684,0.000571811,0.000571811,0.000571811
98,89616.5,1.88293,1.11332,2.64286,0.93192,0.47606,0.71018,0.45398,1.65477,0.92771,2.43543,0.00045933,0.00045933,0.00045933
99,90520.7,1.88182,1.11151,2.64594,0.92902,0.48216,0.71207,0.45373,1.65306,0.92776,2.43227,0.000346849,0.000346849,0.000346849
100,91425,1.87956,1.10763,2.63559,0.92941,0.48045,0.7118,0.45424,1.65232,0.92479,2.43267,0.000234368,0.000234368,0.000234368
